상호명,상권업종소분류명,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번주소,도로명주소,층정보,경도,위도,nearest_station,transit_type,walk_time_minutes,walk_distance_m,straight_distance_m
투썸플레이스압구정로데오역점,카페,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 664-6,서울특별시 강남구 선릉로 845,2,127.0403313,37.52758975,압구정로데오,지하철역,0.6,42.56365345741396,30.402609612438546
파리바게뜨삼성카페점,빵/도넛,강남구,11680610,대치2동,1168010600,대치동,서울특별시 강남구 대치동 944-24,서울특별시 강남구 테헤란로88길 17,1,127.060282,37.50655184,한국무역센터.삼성역,버스정류장,4.7,316.30916337978846,225.93511669984892
파리바게뜨학동역고려은단,빵/도넛,강남구,11680531,논현2동,1168010800,논현동,서울특별시 강남구 논현동 215-5,서울특별시 강남구 논현로 660,,127.0316819,37.51291505,학동,지하철역,3.1,208.1161904620596,148.654421758614
파브리끄역삼GFC점,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 738-1,서울특별시 강남구 역삼로17길 64,1,127.0366178,37.49881289,역삼,지하철역,4.3,286.44654751153314,204.60467679395225
파운드커피,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 647-8,서울특별시 강남구 테헤란로13길 10,1,127.03257,37.50032777,역삼역,버스정류장,4.4,295.8889700557061,211.34926432550438
포리듬,카페,강남구,11680650,역삼2동,1168010100,역삼동,서울특별시 강남구 역삼동 725-25,서울특별시 강남구 논현로86길 34,1,127.0403053,37.50036142,역삼역.GS타워,버스정류장,7.0,471.6574166095473,336.89815472110524
폴바셋,카페,강남구,11680565,청담동,1168010400,청담동,서울특별시 강남구 청담동 41-2,서울특별시 강남구 학동로 401,,127.041672,37.51764222,강남구청,지하철역,1.3,86.88120629938004,62.05800449955718
플로리안커피,카페,강남구,11680640,역삼1동,1168010100,역삼동,서울특별시 강남구 역삼동 858,서울특별시 강남구 강남대로 396,,127.0283056,37.49815744,강남,지하철역,1.4,90.63011011595049,64.73579293996464
플리에,카페,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 916-67,서울특별시 강남구 삼성로67길 48,1,127.0556628,37.50017498,한티역,버스정류장,8.0,534.8050034756491,382.00357391117797
하늘정원,카페,강남구,11680750,수서동,1168011500,수서동,서울특별시 강남구 수서동 448-4,서울특별시 강남구 광평로46길 5-4,3,127.0995341,37.48591927,수서역KT수서지점,버스정류장,3.7,246.5364018814459,176.09742991531851
하이하이,카페,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 906-5,서울특별시 강남구 선릉로76길 28,2,127.0528934,37.50190619,선릉역,버스정류장,7.9,529.7568144369964,378.39772459785456
할리스청담삼성로점,카페,강남구,11680590,삼성2동,1168010500,삼성동,서울특별시 강남구 삼성동 20-5,서울특별시 강남구 삼성로119길 8,1,127.0506299,37.51624216,청담역,버스정류장,3.4,230.84123565631938,164.886596897371
혜아리,빵/도넛,강남구,11680630,대치4동,1168010600,대치동,서울특별시 강남구 대치동 916-38,서울특별시 강남구 역삼로78길 24,,127.0573258,37.50093103,은마파출소,버스정류장,10.1,675.2795353428672,482.34252524490523
호밀호두,빵/도넛,강남구,11680590,삼성2동,1168010500,삼성동,서울특별시 강남구 삼성동 141-37,서울특별시 강남구 테헤란로 340,,127.0489481,37.50450279,선릉,지하철역,0.0,2.692617480772861,1.9232982005520436
호원당,빵/도넛,강남구,11680545,압구정동,1168010700,신사동,서울특별시 강남구 신사동 608-10,서울특별시 강남구 압구정로34길 26,,127.030545,37.52640337,압구정역3번출구,버스정류장,3.5,236.99326905664373,169.28090646903124
24시무인카페만월경,카페,강동구,11740685,길동,1174010500,길동,서울특별시 강동구 길동 137-2,서울특별시 강동구 명일로 200-33,1,127.1475079,37.53707315,정보 없음,없음,,,
83도씨,카페,강동구,11740685,길동,1174010500,길동,서울특별시 강동구 길동 359-15,서울특별시 강동구 천중로50길 39,,127.1425218,37.5389984,길동역1번출구,버스정류장,5.3,352.74698309196503,251.96213077997504
강동구청DT,카페,강동구,11740640,성내1동,1174010800,성내동,서울특별시 강동구 성내동 550,서울특별시 강동구 성내로 32,,127.1238022,37.52918959,강동구청,지하철역,6.7,451.4060948114984,322.43292486535603
강동시니어상담카페,카페,강동구,11740525,상일1동,1174010300,상일동,서울특별시 강동구 상일동 148,서울특별시 강동구 동남로 888,,127.1568188,37.55285565,상일동역(5호선),지하철역,0.1,6.160668468196341,4.400477477283101
겟브레디,카페,강동구,11740660,성내3동,1174010800,성내동,서울특별시 강동구 성내동 440-4,서울특별시 강동구 양재대로85길 17,1,127.1336249,37.52436754,둔촌동역,버스정류장,7.9,531.133554679082,379.38111048505857
고희,카페,강동구,11740540,명일2동,1174010100,명일동,서울특별시 강동구 명일동 149,서울특별시 강동구 상암로67길 35,1,127.1556316,37.54790174,상일동역(5호선),지하철역,11.6,778.8940355565773,556.3528825404123
